id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,image_path,image_exists,log_price,spatial_bin
9117000170,20150505T000000,268643,4,2.25,1810,9240,2.0,0,0,3,7,1810,0,1961,0,98055,47.4362,-122.187,1660,9240,/Users/khushirawat/Desktop/CDC/data/images/0.png,True,12.501142362015882,2372_-6109
6700390210,20140708T000000,245000,3,2.5,1600,2788,2.0,0,0,4,7,1600,0,1992,0,98031,47.4034,-122.187,1720,3605,/Users/khushirawat/Desktop/CDC/data/images/1.png,True,12.409017571151187,2370_-6109
7212660540,20150115T000000,200000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,1994,0,98003,47.2704,-122.313,1870,7455,/Users/khushirawat/Desktop/CDC/data/images/2.png,True,12.206077645517674,2364_-6116
8562780200,20150427T000000,352499,2,2.25,1240,705,2.0,0,0,3,7,1150,90,2009,0,98027,47.5321,-122.073,1240,750,/Users/khushirawat/Desktop/CDC/data/images/3.png,True,12.772805901234461,2377_-6104
7760400350,20141205T000000,232000,3,2.0,1280,13356,1.0,0,0,3,7,1280,0,1994,0,98042,47.3715,-122.074,1590,8071,/Users/khushirawat/Desktop/CDC/data/images/4.png,True,12.354496960983985,2369_-6104
464001025,20140918T000000,722500,4,3.5,2600,5100,2.0,0,0,3,8,1820,780,2003,0,98117,47.6948,-122.395,2000,6720,/Users/khushirawat/Desktop/CDC/data/images/5.png,True,13.490474083050811,2385_-6120
3432500486,20140623T000000,299995,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,1951,0,98155,47.7463,-122.315,1850,8291,/Users/khushirawat/Desktop/CDC/data/images/6.png,True,12.611524420216115,2387_-6116
3876500290,20150305T000000,175000,3,1.0,1070,6164,1.0,0,0,3,7,1070,0,1967,0,98001,47.3377,-122.291,1320,7920,/Users/khushirawat/Desktop/CDC/data/images/8.png,True,12.07254696717504,2367_-6115
1865400075,20140522T000000,320000,3,2.25,998,844,2.0,0,0,3,7,798,200,2007,0,98117,47.6983,-122.367,998,1110,/Users/khushirawat/Desktop/CDC/data/images/9.png,True,12.676079399771027,2385_-6118
2558690150,20140707T000000,475000,5,2.5,2510,8050,1.0,0,0,4,7,1490,1020,1977,0,98034,47.7212,-122.172,1840,8471,/Users/khushirawat/Desktop/CDC/data/images/10.png,True,13.07107218827772,2386_-6109
